scenario,iteration,latency_ms
raft/1-node epoch=100ms,0,99.4200
raft/1-node epoch=100ms,1,99.3154
raft/1-node epoch=100ms,2,101.6915
raft/1-node epoch=100ms,3,97.6826
raft/1-node epoch=100ms,4,101.5338
raft/1-node epoch=100ms,5,101.0424
raft/1-node epoch=100ms,6,98.5854
raft/1-node epoch=100ms,7,101.3972
raft/1-node epoch=100ms,8,100.3741
raft/1-node epoch=100ms,9,97.8168
raft/1-node epoch=100ms,10,100.4900
raft/1-node epoch=100ms,11,100.8766
raft/1-node epoch=100ms,12,101.4377
raft/1-node epoch=100ms,13,97.6080
raft/1-node epoch=100ms,14,100.3453
raft/1-node epoch=100ms,15,100.8164
raft/1-node epoch=100ms,16,98.3170
raft/1-node epoch=100ms,17,99.8820
raft/1-node epoch=100ms,18,101.8774
raft/1-node epoch=100ms,19,98.6287
raft/1-node epoch=100ms,20,99.6419
raft/1-node epoch=100ms,21,99.4596
raft/1-node epoch=100ms,22,102.0214
raft/1-node epoch=100ms,23,97.7672
raft/1-node epoch=100ms,24,100.9282
raft/1-node epoch=100ms,25,100.8961
raft/1-node epoch=100ms,26,100.3253
raft/1-node epoch=100ms,27,99.7733
raft/1-node epoch=100ms,28,98.2622
raft/1-node epoch=100ms,29,101.8244
raft/1-node epoch=100ms,30,99.3845
raft/1-node epoch=100ms,31,99.8251
raft/1-node epoch=100ms,32,99.9007
raft/1-node epoch=100ms,33,101.1027
raft/1-node epoch=100ms,34,98.5547
raft/1-node epoch=100ms,35,100.7990
raft/1-node epoch=100ms,36,98.4702
raft/1-node epoch=100ms,37,101.2022
raft/1-node epoch=100ms,38,99.8092
raft/1-node epoch=100ms,39,98.1370
raft/1-node epoch=100ms,40,101.7152
raft/1-node epoch=100ms,41,99.8061
raft/1-node epoch=100ms,42,101.5730
raft/1-node epoch=100ms,43,97.6529
raft/1-node epoch=100ms,44,102.2069
raft/1-node epoch=100ms,45,100.0978
raft/1-node epoch=100ms,46,100.4262
raft/1-node epoch=100ms,47,97.2500
raft/1-node epoch=100ms,48,101.6830
raft/1-node epoch=100ms,49,98.7582
raft/1-node epoch=100ms,50,100.0698
raft/1-node epoch=100ms,51,100.9887
raft/1-node epoch=100ms,52,100.3224
raft/1-node epoch=100ms,53,98.4238
raft/1-node epoch=100ms,54,104.0735
raft/1-node epoch=100ms,55,98.2923
raft/1-node epoch=100ms,56,99.0860
raft/1-node epoch=100ms,57,99.7563
raft/1-node epoch=100ms,58,99.1167
raft/1-node epoch=100ms,59,100.0990
raft/1-node epoch=200ms,0,99.6361
raft/1-node epoch=200ms,1,99.0208
raft/1-node epoch=200ms,2,101.5008
raft/1-node epoch=200ms,3,99.2834
raft/1-node epoch=200ms,4,102.6242
raft/1-node epoch=200ms,5,98.9938
raft/1-node epoch=200ms,6,98.7010
raft/1-node epoch=200ms,7,100.0101
raft/1-node epoch=200ms,8,101.4185
raft/1-node epoch=200ms,9,98.2475
raft/1-node epoch=200ms,10,99.4051
raft/1-node epoch=200ms,11,101.2988
raft/1-node epoch=200ms,12,100.6509
raft/1-node epoch=200ms,13,100.6478
raft/1-node epoch=200ms,14,99.6006
raft/1-node epoch=200ms,15,99.3473
raft/1-node epoch=200ms,16,99.4610
raft/1-node epoch=200ms,17,102.2229
raft/1-node epoch=200ms,18,96.5728
raft/1-node epoch=200ms,19,100.0084
raft/1-node epoch=200ms,20,100.3286
