scenario,iteration,latency_ms
raft/1-node (f=0 fast path),0,98.7684
raft/1-node (f=0 fast path),1,100.8742
raft/1-node (f=0 fast path),2,100.2007
raft/1-node (f=0 fast path),3,98.5390
raft/1-node (f=0 fast path),4,100.4193
raft/1-node (f=0 fast path),5,100.2481
raft/1-node (f=0 fast path),6,99.6105
raft/1-node (f=0 fast path),7,100.6062
raft/1-node (f=0 fast path),8,101.3984
raft/1-node (f=0 fast path),9,98.4441
raft/1-node (f=0 fast path),10,101.1002
raft/1-node (f=0 fast path),11,97.9477
raft/1-node (f=0 fast path),12,101.1798
raft/1-node (f=0 fast path),13,99.5395
raft/1-node (f=0 fast path),14,101.0401
raft/1-node (f=0 fast path),15,99.3840
raft/1-node (f=0 fast path),16,100.7388
raft/1-node (f=0 fast path),17,100.0711
raft/1-node (f=0 fast path),18,98.4368
raft/1-node (f=0 fast path),19,101.3595
raft/1-node (f=0 fast path),20,100.1390
raft/1-node (f=0 fast path),21,99.7910
raft/1-node (f=0 fast path),22,99.4820
raft/1-node (f=0 fast path),23,98.8710
raft/1-node (f=0 fast path),24,101.1582
raft/1-node (f=0 fast path),25,100.5150
raft/1-node (f=0 fast path),26,98.7614
raft/1-node (f=0 fast path),27,99.3659
raft/1-node (f=0 fast path),28,102.3950
raft/1-node (f=0 fast path),29,98.0676
raft/1-node (f=0 fast path),30,100.4157
raft/1-node (f=0 fast path),31,101.2800
raft/1-node (f=0 fast path),32,97.9213
raft/1-node (f=0 fast path),33,100.5529
raft/1-node (f=0 fast path),34,98.8871
raft/1-node (f=0 fast path),35,102.9321
raft/1-node (f=0 fast path),36,97.6983
raft/1-node (f=0 fast path),37,99.9176
raft/1-node (f=0 fast path),38,100.9852
raft/1-node (f=0 fast path),39,100.4958
raft/1-node (f=0 fast path),40,98.8324
raft/1-node (f=0 fast path),41,101.0316
raft/1-node (f=0 fast path),42,99.4576
raft/1-node (f=0 fast path),43,99.0548
raft/1-node (f=0 fast path),44,100.7910
raft/1-node (f=0 fast path),45,100.6677
raft/1-node (f=0 fast path),46,97.7251
raft/1-node (f=0 fast path),47,101.1425
raft/1-node (f=0 fast path),48,101.5465
raft/1-node (f=0 fast path),49,99.6750
raft/1-node (f=0 fast path),50,99.7945
raft/1-node (f=0 fast path),51,100.5962
raft/1-node (f=0 fast path),52,99.5669
raft/1-node (f=0 fast path),53,99.6292
raft/1-node (f=0 fast path),54,100.1808
raft/1-node (f=0 fast path),55,99.9458
raft/1-node (f=0 fast path),56,100.1995
raft/1-node (f=0 fast path),57,98.7026
raft/1-node (f=0 fast path),58,99.4808
raft/1-node (f=0 fast path),59,100.2205
raft/1-node (f=0 fast path),60,101.3285
raft/1-node (f=0 fast path),61,99.8469
raft/1-node (f=0 fast path),62,98.3105
raft/1-node (f=0 fast path),63,100.5320
raft/1-node (f=0 fast path),64,100.0538
raft/1-node (f=0 fast path),65,99.8098
raft/1-node (f=0 fast path),66,101.5035
raft/1-node (f=0 fast path),67,99.2088
raft/1-node (f=0 fast path),68,100.3224
raft/1-node (f=0 fast path),69,99.1445
raft/1-node (f=0 fast path),70,99.4226
raft/1-node (f=0 fast path),71,101.6626
raft/1-node (f=0 fast path),72,100.3151
raft/1-node (f=0 fast path),73,98.0683
raft/1-node (f=0 fast path),74,101.4328
raft/1-node (f=0 fast path),75,99.3015
raft/1-node (f=0 fast path),76,101.0516
raft/1-node (f=0 fast path),77,98.8297
raft/1-node (f=0 fast path),78,100.5645
raft/1-node (f=0 fast path),79,99.8137
raft/1-node (f=0 fast path),80,98.2011
raft/1-node (f=0 fast path),81,102.2902
raft/1-node (f=0 fast path),82,98.7383
raft/1-node (f=0 fast path),83,99.6736
raft/1-node (f=0 fast path),84,99.7685
raft/1-node (f=0 fast path),85,101.6868
raft/1-node (f=0 fast path),86,98.2177
raft/1-node (f=0 fast path),87,100.2410
raft/1-node (f=0 fast path),88,101.9182
raft/1-node (f=0 fast path),89,99.7018
raft/1-node (f=0 fast path),90,98.9734
raft/1-node (f=0 fast path),91,100.4495
raft/1-node (f=0 fast path),92,100.3437
raft/1-node (f=0 fast path),93,98.9191
raft/1-node (f=0 fast path),94,101.4235
raft/1-node (f=0 fast path),95,99.1144
raft/1-node (f=0 fast path),96,100.9991
raft/1-node (f=0 fast path),97,99.9953
raft/1-node (f=0 fast path),98,99.6309
raft/1-node (f=0 fast path),99,100.0963
raft/1-node (f=0 fast path),100,98.4223
raft/1-node (f=0 fast path),101,102.0243
raft/1-node (f=0 fast path),102,99.4284
raft/1-node (f=0 fast path),103,98.1380
raft/1-node (f=0 fast path),104,100.6764
raft/1-node (f=0 fast path),105,99.7753
raft/1-node (f=0 fast path),106,100.7175
raft/1-node (f=0 fast path),107,100.2494
raft/1-node (f=0 fast path),108,99.1647
raft/1-node (f=0 fast path),109,100.3119
raft/1-node (f=0 fast path),110,98.9498
raft/1-node (f=0 fast path),111,101.3335
raft/1-node (f=0 fast path),112,100.6753
raft/1-node (f=0 fast path),113,98.5044
raft/1-node (f=0 fast path),114,100.4820
raft/1-node (f=0 fast path),115,100.4929
raft/1-node (f=0 fast path),116,100.3830
raft/1-node (f=0 fast path),117,99.6103
raft/1-node (f=0 fast path),118,100.2650
raft/1-node (f=0 fast path),119,99.9303
raft/1-node (f=0 fast path),120,99.2819
raft/1-node (f=0 fast path),121,101.3676
raft/1-node (f=0 fast path),122,98.9181
raft/1-node (f=0 fast path),123,98.6027
raft/1-node (f=0 fast path),124,101.5732
raft/1-node (f=0 fast path),125,100.6920
raft/1-node (f=0 fast path),126,98.3348
raft/1-node (f=0 fast path),127,100.4888
raft/1-node (f=0 fast path),128,101.2707
raft/1-node (f=0 fast path),129,99.8268
raft/1-node (f=0 fast path),130,98.6386
raft/1-node (f=0 fast path),131,100.6745
raft/1-node (f=0 fast path),132,99.1352
raft/1-node (f=0 fast path),133,99.9985
raft/1-node (f=0 fast path),134,99.8437
raft/1-node (f=0 fast path),135,100.6917
raft/1-node (f=0 fast path),136,99.9512
raft/1-node (f=0 fast path),137,99.1896
raft/1-node (f=0 fast path),138,101.5146
raft/1-node (f=0 fast path),139,98.9172
raft/1-node (f=0 fast path),140,100.2922
raft/1-node (f=0 fast path),141,99.5950
raft/1-node (f=0 fast path),142,100.1553
raft/1-node (f=0 fast path),143,100.1561
raft/1-node (f=0 fast path),144,100.4158
raft/1-node (f=0 fast path),145,99.4331
raft/1-node (f=0 fast path),146,98.9986
raft/1-node (f=0 fast path),147,102.7809
raft/1-node (f=0 fast path),148,98.9230
raft/1-node (f=0 fast path),149,98.9201
raft/1-node (f=0 fast path),150,99.4666
raft/1-node (f=0 fast path),151,101.6719
raft/1-node (f=0 fast path),152,99.9133
raft/1-node (f=0 fast path),153,98.8515
raft/1-node (f=0 fast path),154,99.7693
raft/1-node (f=0 fast path),155,99.4905
raft/1-node (f=0 fast path),156,101.5687
raft/1-node (f=0 fast path),157,99.8364
raft/1-node (f=0 fast path),158,100.2431
raft/1-node (f=0 fast path),159,98.6634
raft/1-node (f=0 fast path),160,101.4490
raft/1-node (f=0 fast path),161,99.2302
raft/1-node (f=0 fast path),162,100.4455
raft/1-node (f=0 fast path),163,98.8130
raft/1-node (f=0 fast path),164,100.9939
raft/1-node (f=0 fast path),165,100.1016
raft/1-node (f=0 fast path),166,100.1715
raft/1-node (f=0 fast path),167,99.2536
raft/1-node (f=0 fast path),168,100.7638
raft/1-node (f=0 fast path),169,98.7550
raft/1-node (f=0 fast path),170,100.5192
raft/1-node (f=0 fast path),171,100.4472
raft/1-node (f=0 fast path),172,99.3141
raft/1-node (f=0 fast path),173,99.1391
raft/1-node (f=0 fast path),174,100.9728
raft/1-node (f=0 fast path),175,100.3887
raft/1-node (f=0 fast path),176,100.4098
raft/1-node (f=0 fast path),177,100.4274
raft/1-node (f=0 fast path),178,98.8135
raft/1-node (f=0 fast path),179,100.5977
raft/1-node (f=0 fast path),180,100.2008
raft/1-node (f=0 fast path),181,99.7852
raft/1-node (f=0 fast path),182,98.7826
raft/1-node (f=0 fast path),183,100.0966
raft/1-node (f=0 fast path),184,100.9132
raft/1-node (f=0 fast path),185,101.0995
raft/1-node (f=0 fast path),186,97.4119
raft/1-node (f=0 fast path),187,101.5594
raft/1-node (f=0 fast path),188,99.4524
raft/1-node (f=0 fast path),189,101.8487
raft/1-node (f=0 fast path),190,98.5736
raft/1-node (f=0 fast path),191,100.8368
raft/1-node (f=0 fast path),192,99.1440
